index,Station,Event,Ev_lat,Ev_lon,Depth,Mag,Baz,Phase,SCPhi,SCPhi_std,SCdt,SCdt_std,RCPhi,RCPhi_std,RCdt,RCdt_std,RCcoeff_corrcted,Null,Quality,CpH
11,AM.ALAV,20180906_154914,-18.4952,179.3555,617.87,7.9,73.32,SKS,-15.68,44.75,3.9,0.98,28.32,44.75,0,0.98,1,TRUE,Good,0.93
12,AM.ALAV,20130707_203007,-6.036,149.7262,65.9,6.6,84.49,SKS,-26.51,3.75,3.9,0.25,-88.51,44.75,0.6,0.98,0.24,TRUE,Fair,0.87
13,AM.ALAV,20140316_211628,-19.9051,-70.6156,9.4,6.7,270.77,SKS,65.77,44.75,3.9,0.98,4.77,44.75,0.9,0.98,1,TRUE,Fair,0.8
14,AM.ALAV,20140411_202913,11.7198,-86.014,142.3,6.6,307.85,SKS,12.85,44.75,3.9,0.98,-48.15,44.75,1,0.98,1,TRUE,Fair,0.72
15,AM.ALAV,20140507_042039,-7.0145,154.9469,41,6,81.68,SKS,-84.32,6.75,3.9,0.73,-32.32,44.75,0.6,0.98,1,TRUE,Fair,0.82
16,AM.ALAV,20150916_140322,-6.0114,151.4768,6,6.1,83.28,SKS,85.28,44.75,1.9,0.98,-48.72,44.75,0.1,0.98,1,TRUE,Good,0.93
17,AM.ALAV,20121210_165309,-6.4969,129.8684,161.5,7.1,97.94,SKS,77.94,44.75,3.9,0.98,15.94,44.75,0.4,0.98,1,TRUE,Good,0.91
18,AM.ALAV,20131201_012415,-7.0288,128.4151,25.9,6.5,99.29,SKS,80.29,28,3.9,0.48,18.29,44.75,0.2,0.98,1,TRUE,Good,0.9
19,AM.ALAV,20140113_040104,18.9922,-66.8685,30.9,6.3,298.44,SKS,4.44,44.75,3.9,0.98,-62.56,44.75,0.3,0.98,1,TRUE,Fair,0.84
20,AM.ALAV,20140218_092714,14.596,-58.9719,28.3,6.5,290.04,SKS,-89.96,44.75,3.9,0.98,23.04,44.75,0.2,0.98,1,TRUE,Good,0.94
21,AM.ALAV,20130707_183531,-4.0134,153.9277,387.1,7.3,80.03,SKS,62.03,44.75,3.9,0.98,-0.97,44.75,0.1,0.98,0.98,TRUE,Fair,0.89
22,AM.ALAV,20140412_201438,-11.2581,162.1387,15.3,7.6,80.06,SKS,61.06,30.25,3.9,0.65,2.06,44.75,0.5,0.98,1,TRUE,Fair,0.72
23,AM.ALAV,20140413_123619,-11.4669,161.9601,34.2,7.4,80.37,SKS,-25.63,44.75,3.9,0.98,-80.63,44.75,0.5,0.98,0.94,TRUE,Fair,0.89
24,AM.ALAV,20151217_194953,15.8009,-93.6294,85,6.6,316.82,SKS,32.82,44.75,1.7,0.98,-8.18,44.75,0.7,0.98,0.93,TRUE,Fair,0.72
25,AM.ALAV,20160518_075702,0.4261,-79.7899,16,6.7,294.85,SKS,17.85,1,2.7,0.4,-22.15,44.75,0.4,0.98,1,TRUE,Good,0.97
26,AM.ALAV,20170509_135210,-14.5884,167.3767,169,6.8,79.13,SKS,-2.87,44.75,1.7,0.98,41.13,44.75,0.4,0.98,1,TRUE,Good,0.98
27,AM.ALAV,20170713_033608,-4.7722,153.1958,34.78,6.4,81.13,SKS,83.13,44.75,3.9,0.98,38.13,44.75,0.1,0.98,0.98,TRUE,Fair,0.87
28,AM.ALAV,20180308_173951,-4.3853,153.1874,22.53,6.8,80.84,SKS,-5.16,23.75,3.9,0.75,-47.16,44.75,0,0.98,1,TRUE,Good,0.97
29,AM.ALAV,20180324_112332,-5.4959,151.4971,33,6.3,82.87,SKS,-2.13,44.75,1.2,0.98,37.87,44.75,0.2,0.98,1,TRUE,Fair,0.88
30,AM.ALAV,20180509_075755,-5.8916,151.7962,10,6,82.97,SKS,85.97,44.75,3.9,0.98,-46.03,44.75,0.1,0.98,1,TRUE,Fair,0.87
31,AM.ALAV,20181101_221951,-19.5882,-69.2923,102,6.2,270.2,SKS,10.2,44.75,3.9,0.98,63.2,44.75,0.6,0.98,1,TRUE,Fair,0.64
32,AM.ALAV,20200721_205625,-20.8045,-178.6325,605.2,6,74.14,SKS,-32.86,44.75,3.9,0.98,-3.86,44.75,0,0.98,1,TRUE,Good,0.98
33,AM.ALAV,20201103_024054,-44.4106,-79.3773,10,6,246.11,SKS,-37.89,44.75,3.9,0.98,84.11,44.75,0,0.98,1,TRUE,Good,0.99
34,AM.ALAV,20180211_231415,13.8205,146.4377,10,6,71.87,SKS,74.87,44.75,3.3,0.98,-59.13,44.75,0.2,0.98,0.99,TRUE,Good,0.96
35,AM.ALAV,20180325_201447,-6.6247,129.8138,169,6.4,98.07,SKS,87.07,44.75,1.5,0.98,54.07,44.75,0.5,0.98,0.93,TRUE,Fair,0.8
36,AM.ALAV,20180728_170723,-7.1221,122.7474,577.48,6,103.12,SKS,55.12,17.25,1.4,0.55,42.12,44.75,1.5,0.98,0.24,FALSE,Fair,0.56
37,AM.ALAV,20180821_213147,10.7791,-62.907,146.18,7.3,289.92,SKS,-73.08,0.75,3.7,0.48,61.92,44.75,0,0.98,0.37,TRUE,Good,0.9
38,AM.ALAV,20180828_223513,16.8044,146.8395,55,6.4,69.42,SKS,-16.58,44.75,3.9,0.98,-62.58,20.25,0.1,0.52,-0.38,TRUE,Good,0.92
39,AM.ALAV,20190619_172448,-2.243,138.4599,10,6.3,89.1,SKS,29.1,44.75,0.5,0.98,45.1,44.75,0.4,0.98,0.45,FALSE,Fair,0.75
40,AM.ALAV,20190624_025339,-6.4078,129.1692,212,7.3,98.33,SKS,22.33,19.75,0.9,0.65,63.33,44.75,0.4,0.98,1,TRUE,Fair,0.83
41,AM.ALAV,20190714_053923,-18.2237,120.3574,10,6.6,112.84,SKS,-62.16,44.75,2.8,0.98,-16.16,44.75,0.3,0.98,-0.47,TRUE,Fair,0.87
42,AM.ALAV,20131123_074832,-17.1613,-176.5188,370.1,6.5,68.09,SKKS,-45.91,27,3.9,0.38,69.09,44.75,0.4,0.98,1,TRUE,Fair,0.86
43,AM.ALAV,20140316_211628,-19.9051,-70.6156,9.4,6.7,270.77,SKKS,71.77,44.75,3.9,0.98,12.77,44.75,0.5,0.98,1,TRUE,Fair,0.8
44,AM.ALAV,20140317_051133,-20.06,-70.8284,5.3,6.4,270.77,SKKS,71.77,44.75,3.9,0.98,12.77,44.75,0.4,0.98,1,TRUE,Fair,0.82
45,AM.ALAV,20140924_111613,-23.7849,-66.5888,204.5,6.2,264.52,SKKS,76.52,44.75,3.9,0.98,25.52,44.75,0.4,0.98,1,TRUE,Fair,0.89
46,AM.ALAV,20150620_021007,-36.3349,-73.6674,17.4,6.4,254.85,SKKS,58.85,44.75,3.9,0.98,-2.15,44.75,0.1,0.98,1,TRUE,Good,0.95
47,AM.ALAV,20150918_091044,-32.3681,-72.2292,8,6.2,258.83,SKKS,-21.17,44.75,3.9,0.98,-75.17,44.75,0.4,0.98,1,TRUE,Fair,0.82
48,AM.ALAV,20151020_215202,-14.8595,167.3028,135,7.1,79.44,SKKS,85.44,44.75,3,0.98,-49.56,44.75,0.3,0.98,1,TRUE,Good,0.91
49,AM.ALAV,20170224_172844,-23.2601,-178.8033,414.89,6.9,77.23,SKKS,88.23,44.75,2.4,0.98,-44.77,44.75,0.5,0.98,1,TRUE,Good,0.9
50,AM.ALAV,20170509_135210,-14.5884,167.3767,169,6.8,79.13,SKKS,81.13,44.75,3.9,0.98,-50.87,44.75,0.1,0.98,1,TRUE,Fair,0.85
51,AM.ALAV,20180114_091845,-15.7589,-74.7095,39,7.1,277.47,SKKS,-77.53,44.75,1.7,0.98,-34.53,44.75,0.2,0.98,-0.47,TRUE,Fair,0.89
52,AM.ALAV,20190926_163618,-40.8152,-72.0019,129,6.1,248.51,SKKS,34.51,17.25,1.9,0.82,20.51,44.75,1.7,0.9,-0.66,FALSE,Fair,0.22
53,AM.ALAV,20191021_025229,-19.0184,169.4883,231,6.4,81.81,SKKS,-28.19,44.75,1.1,0.98,-58.19,44.75,0.7,0.98,1,TRUE,Fair,0.8
54,AM.ARZA,20180819_001940,-18.1125,-178.1536,600,8.2,71.15,SKS,-43.85,3.5,3.5,0.3,-47.85,10.5,3.3,0.55,-0.91,TRUE,Fair,0.78
55,AM.ARZA,20181211_022632,-58.5981,-26.4656,164.66,7.1,213.11,SKS,-71.89,44.75,2.6,0.98,59.11,44.75,0.8,0.98,0.99,TRUE,Fair,0.77
56,AM.ARZA,20190222_101722,-2.199,-77.0231,132.36,7.5,290.25,SKS,-87.75,44.75,1.3,0.98,63.25,44.75,0.7,0.98,1,TRUE,Fair,0.83
57,AM.ARZA,20190301_085042,-14.7016,-70.135,267,7,274.74,SKS,63.74,10,1.4,0.35,40.74,44.75,1.2,0.98,1,FALSE,Fair,0.46
58,AM.ARZA,20200717_025022,-7.8386,147.7754,73,7,87.27,SKS,11.27,44.75,3.9,0.98,70.27,44.75,0,0.98,1,TRUE,Good,0.93
59,AM.ARZA,20120321_221505,-6.2233,146.0083,117.7,6.6,87.17,SKS,78.17,44.75,3.9,0.98,25.17,44.75,0.3,0.98,0.35,TRUE,Fair,0.86
60,AM.ARZA,20140316_211628,-19.9051,-70.6156,9.4,6.7,270.28,SKS,73.28,18.25,1.5,0.82,45.28,44.75,0.8,0.98,1,TRUE,Fair,0.66
61,AM.ARZA,20140510_073600,17.0579,-100.9323,23.3,6.1,323.74,SKS,31.74,8,2.4,0.65,-3.26,44.75,1.3,0.98,-0.44,TRUE,Fair,0.64
62,AM.ARZA,20140629_075256,-55.4757,-28.3956,15.1,6.8,216.55,SKS,-62.45,44.75,1.3,0.98,74.55,44.75,0.4,0.98,1,TRUE,Fair,0.8
63,AM.ARZA,20140707_112354,14.724,-92.4614,53,6.9,314.86,SKS,34.86,44.75,3.9,0.98,-19.14,44.75,0.2,0.98,1,TRUE,Fair,0.89
64,AM.ARZA,20140824_232141,-14.52,-73.535,70,6.8,277.26,SKS,76,44.75,1.9,0.98,42,44.75,1.1,0.98,0.99,TRUE,Fair,0.85
65,AM.ARZA,20140824_232143,-14.589,-73.45,74.4,6.8,277.14,SKS,76,44.75,1.9,0.98,42,44.75,1.1,0.98,0.99,TRUE,Fair,0.85
66,AM.ARZA,20150123_034727,-17.064,168.5545,223.9,6.8,80.91,SKS,-14.09,44.75,3.9,0.98,-66.09,44.75,0,0.98,1,TRUE,Fair,0.74
67,AM.ARZA,20150211_185720,-23.0653,-66.6621,203.6,6.7,264.78,SKS,73.78,44.75,3.6,0.98,24.78,44.75,0.6,0.98,1,TRUE,Fair,0.81
68,AM.ARZA,20150501_080605,-5.1981,151.7512,63.6,6.7,82.53,SKS,67.53,4.5,3.9,0.35,11.53,44.75,0.3,0.98,1,TRUE,Fair,0.76
69,AM.ARZA,20150610_135208,-22.4098,-68.4519,121.8,6.1,266.51,SKS,-13.49,44.75,3.9,0.98,-61.49,44.75,0.2,0.98,1,TRUE,Fair,0.83
70,AM.ARZA,20150916_140322,-6.0114,151.4768,6,6.1,83.36,SKS,-15.64,44.75,3.8,0.98,-62.64,44.75,0.5,0.98,0.89,TRUE,Fair,0.84
71,AM.ARZA,20121210_165309,-6.4969,129.8684,161.5,7.1,97.84,SKS,87.84,44.75,3.9,0.98,35.84,44.75,0.4,0.98,1,TRUE,Fair,0.84
72,AM.ARZA,20130406_044236,-3.4714,138.4743,69.4,7,89.96,SKS,79.96,44.75,3.9,0.98,27.96,44.75,0.2,0.98,1,TRUE,Good,0.91
73,AM.ARZA,20130416_225527,-3.2237,142.5671,16.3,6.6,87.11,SKS,73.11,44.75,2.4,0.98,31.11,44.75,0.8,0.98,1,TRUE,Fair,0.77
74,AM.ARZA,20130514_003226,18.7672,145.2903,611.7,6.8,68.82,SKS,-31.18,24.5,3.9,0.58,-85.18,44.75,0.3,0.98,1,TRUE,Fair,0.86
75,AM.ARZA,20131201_012415,-7.0288,128.4151,25.9,6.5,99.18,SKS,-87.82,44.75,3.9,0.98,39.18,44.75,0.2,0.98,1,TRUE,Good,0.93
76,AM.ARZA,20140113_040104,18.9922,-66.8685,30.9,6.3,298.31,SKS,-67.69,44.75,3.9,0.98,62.31,44.75,0.1,0.98,1,TRUE,Good,0.95
77,AM.ARZA,20111214_050457,-7.5278,146.814,128.5,7.1,87.66,SKS,79.66,2,3.5,0.5,31.66,44.75,0.5,0.98,1,TRUE,Fair,0.88
78,AM.ARZA,20130707_183531,-4.0134,153.9277,387.1,7.3,80.11,SKS,68.11,28.75,3.9,0.73,15.11,44.75,0.4,0.98,1,TRUE,Fair,0.81
79,AM.ARZA,20140413_123619,-11.4669,161.9601,34.2,7.4,80.58,SKS,-29.42,4.75,3.9,0.4,-83.42,44.75,0.9,0.98,1,TRUE,Fair,0.75
80,AM.ARZA,20150211_185720,-23.0653,-66.6621,203.6,6.7,264.78,SKS,73.78,44.75,3.6,0.98,24.78,44.75,0.6,0.98,1,TRUE,Fair,0.81
81,AM.ARZA,20150916_225432,-31.5729,-71.6744,22.44,8.3,258.85,SKS,66.85,2.5,3.9,0.23,14.85,44.75,0.4,0.98,1,TRUE,Fair,0.87
82,AM.ARZA,20160518_164643,0.4947,-79.616,29.95,6.9,294.37,SKS,-74.63,1.75,3.6,0.38,62.37,44.75,0.5,0.98,1,TRUE,Fair,0.88
83,AM.ARZA,20170614_072905,14.9823,-91.9882,94,6.9,314.61,SKS,31.61,44.75,3.9,0.98,-20.39,44.75,0.4,0.98,1,TRUE,Good,0.96
84,AM.ARZA,20180308_173951,-4.3853,153.1874,22.53,6.8,80.91,SKS,-19.09,44.75,3.8,0.98,-73.09,44.75,0.3,0.98,1,TRUE,Good,0.91
85,AM.ARZA,20180509_075755,-5.8916,151.7962,10,6,83.05,SKS,74.05,1.25,3.7,0.3,26.05,44.75,0.4,0.98,1,TRUE,Fair,0.8
86,AM.ARZA,20181205_041436,-21.9814,169.3156,10,6,85.39,SKS,79.39,44.75,3.9,0.98,28.39,44.75,0.2,0.98,1,TRUE,Good,0.96
87,AM.ARZA,20190201_161413,14.7628,-92.2981,67.93,6.6,314.74,SKS,34.74,1.75,3.9,0.2,-17.26,44.75,0.3,0.98,1,TRUE,Fair,0.88
88,AM.ARZA,20190217_143555,-3.3412,152.1319,368.12,6.4,80.82,SKS,74.82,1.75,3.9,0.53,25.82,44.75,0.1,0.98,1,TRUE,Good,0.97
89,AM.ARZA,20190530_090328,13.1462,-89.3663,25,6.6,311.24,SKS,25.24,44.75,3,0.98,45.24,44.75,3.9,0.98,1,TRUE,Fair,0.84
90,AM.ARZA,20200603_073534,-23.2955,-68.4217,96.84,6.8,265.63,SKS,10.63,44.75,3.3,0.98,62.63,44.75,0.7,0.98,1,TRUE,Fair,0.68
91,AM.ARZA,20200901_040928,-27.9728,-71.3031,23,6.8,262.58,SKS,-82.42,44.75,2.7,0.98,-48.42,44.75,1,0.98,1,TRUE,Fair,0.45
92,AM.ARZA,20201130_225503,-24.3318,-67.0203,189,6.3,263.77,SKS,7.77,44.75,2.3,0.98,46.77,44.75,0.8,0.98,0.24,TRUE,Good,0.9
93,AM.ARZA,20151104_034415,-8.3381,124.8754,20,6.5,102.47,SKS,-85.53,44.75,3.1,0.98,44.47,44.75,0.4,0.98,1,TRUE,Fair,0.85
94,AM.ARZA,20151204_222500,-47.6165,85.0913,35,7.1,153.82,SKS,-32.18,44.75,3.6,0.98,-81.18,44.75,0.2,0.98,1,TRUE,Good,0.93
95,AM.ARZA,20171024_104747,-7.2364,123.0401,549.19,6.7,102.86,SKS,-86.14,28.5,3.9,0.85,41.86,44.75,0.2,0.98,1,TRUE,Fair,0.89
96,AM.ARZA,20180211_231415,13.8205,146.4377,10,6,71.76,SKS,68.76,44.75,3.9,0.98,21.76,44.75,0,0.98,0.27,TRUE,Good,0.99
97,AM.ARZA,20180325_201447,-6.6247,129.8138,169,6.4,97.97,SKS,88.97,44.75,3.9,0.98,35.97,44.75,0.2,0.98,1,TRUE,Good,0.94
98,AM.ARZA,20180821_213147,10.7791,-62.907,146.18,7.3,289.74,SKS,-85.26,44.75,1.5,0.98,53.74,44.75,0.6,0.98,0.37,TRUE,Fair,0.81
99,AM.ARZA,20180828_223513,16.8044,146.8395,55,6.4,69.3,SKS,67.3,44.75,3.9,0.98,-68.7,16,0,0.12,-0.93,TRUE,Good,0.92
100,AM.ARZA,20200613_210830,18.9317,145.1116,622,6.2,68.81,SKS,-3.19,27,3.9,0.4,56.81,44.75,0.1,0.98,1,TRUE,Fair,0.86
101,AM.ARZA,20200821_040952,-6.6869,123.4829,627.76,6.9,102.15,SKS,29.15,5,3.9,0.53,81.15,44.75,0.7,0.98,1,TRUE,Fair,0.8
102,AM.ARZA,20121221_222808,-14.3591,167.2778,198.1,6.7,79.28,SKKS,81.28,44.75,3.9,0.98,35.28,44.75,0,0.98,1,TRUE,Fair,0.56
103,AM.ARZA,20131123_074832,-17.1613,-176.5188,370.1,6.5,68.57,SKKS,-26.43,44.75,3.9,0.98,-76.43,44.75,0,0.98,1,TRUE,Good,0.9
104,AM.ARZA,20140305_095658,-14.835,169.8319,648,6.4,77.8,SKKS,-25.2,44.75,3,0.98,-64.2,44.75,0.9,0.98,0.91,TRUE,Fair,0.8
105,AM.ARZA,20140316_211628,-19.9051,-70.6156,9.4,6.7,270.28,SKKS,83.28,44.75,3.9,0.98,34.28,44.75,0.3,0.98,1,TRUE,Good,0.91
106,AM.ARZA,20140426_060220,-20.7344,-174.6481,39.4,6.1,70.92,SKKS,-30.08,44.75,3.9,0.98,-80.08,44.75,0.3,0.98,1,TRUE,Good,0.98
107,AM.ARZA,20151020_215202,-14.8595,167.3028,135,7.1,79.73,SKKS,72.73,1.75,3.9,0.35,26.73,44.75,0.2,0.98,1,TRUE,Fair,0.83
108,AM.ARZA,20170218_121017,-23.8613,-66.6592,222,6.3,264.01,SKKS,79.01,44.75,3.7,0.98,34.01,44.75,0.3,0.98,0.24,TRUE,Fair,0.85
109,AM.ARZA,20170224_172844,-23.2601,-178.8033,414.89,6.9,77.81,SKKS,73.81,44.75,3.3,0.98,25.81,44.75,0.2,0.98,1,TRUE,Fair,0.81
110,AM.ARZA,20170509_135210,-14.5884,167.3767,169,6.8,79.42,SKKS,72.42,2.75,2.6,0.7,31.42,44.75,0.4,0.98,1,TRUE,Fair,0.12
111,AM.ARZA,20200603_073534,-23.2955,-68.4217,96.84,6.8,265.63,SKKS,13.63,44.75,3.2,0.98,68.63,44.75,0.8,0.98,1,TRUE,Fair,0.47
112,AM.ARZA,20200805_120536,-16.0919,168.078,178.9,6.4,80.32,SKKS,6.32,44.75,3.9,0.98,64.32,44.75,0.5,0.98,1,TRUE,Fair,0.86
113,AM.ARZA,20200901_210917,-27.9154,-71.3716,14.52,6.5,262.69,SKKS,51.69,14.75,1.6,0.7,27.69,44.75,1.4,0.98,0.98,FALSE,Poor,0.61
114,AM.ARZA,20201206_164742,-20.3662,-69.0663,105,6.1,268.84,SKKS,80.84,44.75,3.4,0.98,35.84,44.75,0.5,0.98,0.8,TRUE,Fair,0.87
115,AM.BAUR,20161124_184348,11.9597,-88.8355,10.34,7,309.56,SKS,35.56,44.75,3.9,0.98,-13.44,44.75,0,0.98,1,TRUE,Fair,0.88
116,AM.BAUR,20180216_233939,16.3887,-97.9789,25.98,7.2,320.15,SKS,65.15,44.75,1.9,0.98,-84.85,44.75,0.8,0.98,1,TRUE,Good,0.94
117,AM.BAUR,20180819_001940,-18.1125,-178.1536,600,8.2,69.79,SKS,-26.21,22.75,3.9,0.75,-73.21,44.75,0.2,0.98,1,TRUE,Good,0.95
118,AM.BAUR,20180906_154914,-18.4952,179.3555,617.87,7.9,72.49,SKS,66.49,44.75,3.9,0.98,15.49,44.75,0.1,0.98,1,TRUE,Good,0.93
119,AM.BAUR,20181211_022632,-58.5981,-26.4656,164.66,7.1,212.99,SKS,-83.01,44.75,1.4,0.98,78.99,44.75,1.1,0.98,0.97,FALSE,Fair,0.59
120,AM.BAUR,20200717_025022,-7.8386,147.7754,73,7,86.58,SKS,76.58,44.75,3.9,0.98,24.58,44.75,0.3,0.98,1,TRUE,Fair,0.8
121,AM.BAUR,20140316_211628,-19.9051,-70.6156,9.4,6.7,270.14,SKS,76.14,44.75,2.7,0.98,29.14,44.75,0.9,0.98,1,TRUE,Fair,0.82
122,AM.BAUR,20140708_125625,-17.6864,168.3982,110.2,6.2,80.59,SKS,-3.41,44.75,3.7,0.98,35.59,44.75,0.5,0.98,1,TRUE,Fair,0.75
123,AM.BAUR,20150916_140322,-6.0114,151.4768,6,6.1,82.63,SKS,76.63,44.75,3.8,0.98,25.63,44.75,0.2,0.98,-0.49,TRUE,Good,0.94
124,AM.BAUR,20131119_170045,18.4629,145.165,531.1,6,68.67,SKS,-31.33,44.75,2.2,0.98,-77.33,44.75,0.3,0.98,1,TRUE,Good,0.93
125,AM.BAUR,20131201_012415,-7.0288,128.4151,25.9,6.5,98.66,SKS,83.66,44.75,2.6,0.98,29.66,44.75,0.5,0.98,0.93,TRUE,Fair,0.47
126,AM.BAUR,20140113_040104,18.9922,-66.8685,30.9,6.3,297.8,SKS,-69.2,19.25,2.6,0.92,67.8,44.75,0.4,0.98,1,TRUE,Fair,0.77
127,AM.BAUR,20140218_092714,14.596,-58.9719,28.3,6.5,289.41,SKS,66.41,19.75,0.9,0.6,70.41,44.75,1,0.98,0.29,FALSE,Fair,0.6
128,AM.BAUR,20130715_140341,-61.0527,-25.2274,19.9,7.3,210.41,SKS,14.41,44.75,3.9,0.98,-43.59,44.75,0.1,0.98,1,TRUE,Fair,0.85
129,AM.BAUR,20131117_090456,-60.3783,-46.5876,7.9,7.8,217.23,SKS,48.23,44.75,1.1,0.98,83.23,44.75,0.4,0.98,1,TRUE,Fair,0.88
130,AM.BAUR,20151217_194953,15.8009,-93.6294,85,6.6,315.99,SKS,39.99,44.75,3.9,0.98,-8.01,44.75,0,0.98,1,TRUE,Good,0.96
131,AM.BAUR,20160725_193845,-2.969,148.0345,14,6.4,82.63,SKS,76.63,44.75,2.8,0.98,26.63,44.75,0.3,0.98,1,TRUE,Good,0.93
132,AM.BAUR,20170614_072905,14.9823,-91.9882,94,6.9,314.1,SKS,40.1,1.25,3.9,0.5,-6.9,44.75,0.2,0.98,1,TRUE,Good,0.96
133,AM.BAUR,20180308_173951,-4.3853,153.1874,22.53,6.8,80.18,SKS,72.18,44.75,3.2,0.98,24.18,44.75,0.4,0.98,1,TRUE,Good,0.92
134,AM.BAUR,20180509_075755,-5.8916,151.7962,10,6,82.32,SKS,76.32,1,3.3,0.4,28.32,44.75,0.2,0.98,1,TRUE,Fair,0.88
135,AM.BAUR,20190201_161413,14.7628,-92.2981,67.93,6.6,314.24,SKS,41.24,44.75,3.9,0.98,-6.76,44.75,0,0.98,1,TRUE,Good,0.9
136,AM.BAUR,20190409_175359,-58.6064,-25.2559,44.83,6.5,212.54,SKS,-51.46,44.75,3.9,0.98,89.54,44.75,0.1,0.98,1,TRUE,Good,0.92
137,AM.BAUR,20160729_211826,18.5439,145.541,207.62,7.7,68.37,SKS,-30.63,44.75,3.9,0.98,-84.63,44.75,0.2,0.98,0.98,TRUE,Good,0.93
138,AM.BAUR,20171024_104747,-7.2364,123.0401,549.19,6.7,102.37,SKS,82.37,44.75,1,0.98,52.37,25.25,0.6,0.95,-0.47,TRUE,Good,0.9
139,AM.BAUR,20180211_231415,13.8205,146.4377,10,6,71.25,SKS,-24.75,44.75,3,0.98,-72.75,44.75,0.3,0.98,0.98,TRUE,Good,0.98
140,AM.BAUR,20180325_201447,-6.6247,129.8138,169,6.4,97.44,SKS,48.44,44.75,1.2,0.98,54.44,44.75,1.2,0.98,0.81,FALSE,Good,0.46
141,AM.BAUR,20180821_213147,10.7791,-62.907,146.18,7.3,289.27,SKS,82.27,44.75,1.5,0.98,50.27,44.75,1,0.98,0.27,TRUE,Fair,0.59
142,AM.BAUR,20180828_223513,16.8044,146.8395,55,6.4,68.8,SKS,-38.2,44.75,3.3,0.98,-89.2,44.75,0.9,0.98,1,TRUE,Fair,0.78
143,AM.BAUR,20190619_172448,-2.243,138.4599,10,6.3,88.47,SKS,79.47,3.25,3.2,0.62,33.47,44.75,0.5,0.98,1,TRUE,Fair,0.84
144,AM.BAUR,20190624_025339,-6.4078,129.1692,212,7.3,97.7,SKS,83.7,4.5,2.5,0.68,38.7,44.75,0.6,0.98,1,TRUE,Fair,0.79
145,AM.BAUR,20200506_135356,-6.7949,129.8613,107,6.8,97.54,SKS,59.54,8.25,1.4,0.2,51.54,44.75,1.3,0.62,-0.73,FALSE,Fair,0.58
146,AM.BAUR,20200821_040952,-6.6869,123.4829,627.76,6.9,101.67,SKS,65.67,7.75,0.9,0.13,52.67,16.25,0.8,0.4,-0.9,FALSE,Fair,0.67
147,AM.BAUR,20151020_215202,-14.8595,167.3028,135,7.1,78.72,SKKS,71.72,44.75,3.3,0.98,19.72,44.75,0.4,0.98,1,TRUE,Good,0.91
148,AM.BAUR,20151219_021053,-18.3819,169.3857,10,6,80.54,SKKS,88.54,44.75,3.9,0.98,-38.46,44.75,0.1,0.98,1,TRUE,Fair,0.87
149,AM.BAUR,20170509_135210,-14.5884,167.3767,169,6.8,78.42,SKKS,-21.58,44.75,3.4,0.98,-70.58,44.75,0.3,0.98,-0.27,TRUE,Good,0.93
150,AM.BAUR,20180410_101934,-30.9862,-71.5566,76.08,6.2,259.49,SKKS,26.49,17.75,1.6,0.7,43.49,44.75,1.5,0.98,-0.36,FALSE,Fair,0.47
